"","Year","Period","State","Data Item","Value"
"322",2007,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",12760000
"323",2007,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",220000
"324",2007,"YEAR","OREGON","PRODUCTION, MEASURED IN $",16378000
"325",2007,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",247000
"326",2007,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",130
"327",2008,"YEAR","OREGON","ACRES HARVESTED",1800
"328",2008,"YEAR","OREGON","ACRES PLANTED",2100
"329",2008,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",172
"330",2008,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4472000
"331",2008,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",26000
"332",2008,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",70.5
"333",2008,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",58
"334",2008,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",12296000
"335",2008,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",212000
"336",2008,"YEAR","OREGON","PRODUCTION, MEASURED IN $",16768000
"337",2008,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",238000
"338",2008,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",130
"339",2009,"YEAR","OREGON","ACRES HARVESTED",1700
"340",2009,"YEAR","OREGON","ACRES PLANTED",2200
"341",2009,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",140
"342",2009,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4060000
"343",2009,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",29000
"344",2009,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",65.8
"345",2009,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",54
"346",2009,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",9828000
"347",2009,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",182000
"348",2009,"YEAR","OREGON","PRODUCTION, MEASURED IN $",13888000
"349",2009,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",211000
"350",2009,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",125
"351",2010,"YEAR","OREGON","ACRES HARVESTED",1900
"352",2010,"YEAR","OREGON","ACRES PLANTED",2100
"353",2010,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",166
"354",2010,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",6142000
"355",2010,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",37000
"356",2010,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",69
"357",2010,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",51
"358",2010,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",10149000
"359",2010,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",199000
"360",2010,"YEAR","OREGON","PRODUCTION, MEASURED IN $",16291000
"361",2010,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",236000
"362",2010,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",125
"363",2011,"YEAR","OREGON","ACRES HARVESTED",2000
"364",2011,"YEAR","OREGON","ACRES PLANTED",2200
"365",2011,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",148
"366",2011,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4144000
"367",2011,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",28000
"368",2011,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",66.5
"369",2011,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",55
"370",2011,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",10890000
"371",2011,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",198000
"372",2011,"YEAR","OREGON","PRODUCTION, MEASURED IN $",15034000
"373",2011,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",226000
"374",2011,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",115
"375",2012,"YEAR","OREGON","ACRES HARVESTED",2000
"376",2012,"YEAR","OREGON","ACRES PLANTED",2200
"377",2012,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",139
"378",2012,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4865000
"379",2012,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",35000
"380",2012,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",71.3
"381",2012,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",58
"382",2012,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",10324000
"383",2012,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",178000
"384",2012,"YEAR","OREGON","PRODUCTION, MEASURED IN $",15189000
"385",2012,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",213000
"386",2012,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",105
"387",2013,"YEAR","OREGON","ACRES HARVESTED",1700
"388",2013,"YEAR","OREGON","ACRES PLANTED",2000
"389",2013,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",167
"390",2013,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",3674000
"391",2013,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",22000
"392",2013,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",63.7
"393",2013,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",48
"394",2013,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",6960000
"395",2013,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",145000
"396",2013,"YEAR","OREGON","PRODUCTION, MEASURED IN $",10634000
"397",2013,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",167000
"398",2013,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",98
"399",2014,"YEAR","OREGON","ACRES HARVESTED",1700
"400",2014,"YEAR","OREGON","ACRES PLANTED",2000
"401",2014,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",161
"402",2014,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4025000
"403",2014,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",25000
"404",2014,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",84.7
"405",2014,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",70
"406",2014,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",9100000
"407",2014,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",130000
"408",2014,"YEAR","OREGON","PRODUCTION, MEASURED IN $",13125000
"409",2014,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",155000
"410",2014,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",91
"411",2015,"YEAR","OREGON","ACRES HARVESTED",1400
"412",2015,"YEAR","OREGON","ACRES PLANTED",1500
"413",2015,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",170
"414",2015,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",3400000
"415",2015,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",20000
"416",2015,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",86
"417",2015,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",73
"418",2015,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",9855000
"419",2015,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",135000
"420",2015,"YEAR","OREGON","PRODUCTION, MEASURED IN $",13255000
"421",2015,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",155000
"422",2015,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",111
"423",2016,"YEAR","OREGON","ACRES HARVESTED",2400
"424",2016,"YEAR","OREGON","ACRES PLANTED",2500
"425",2016,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",108
"426",2016,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",3769000
"427",2016,"YEAR","OREGON","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",34900
"428",2016,"YEAR","OREGON","NOT SOLD - PRODUCTION, MEASURED IN CWT",0
"429",2016,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",86.7
"430",2016,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",83
"431",2016,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",16426000
"432",2016,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",79000
"433",2016,"YEAR","OREGON","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",197900
"434",2016,"YEAR","OREGON","PRODUCTION, MEASURED IN $",20195000
"435",2016,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",232800
"436",2016,"YEAR","OREGON","UTILIZED - PRODUCTION, MEASURED IN CWT",232800
"437",2016,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",97
"438",2017,"YEAR","OREGON","ACRES HARVESTED",2200
"439",2017,"YEAR","OREGON","ACRES PLANTED",2400
"440",2017,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",195
"441",2017,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",6396000
"442",2017,"YEAR","OREGON","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",32800
"443",2017,"YEAR","OREGON","NOT SOLD - PRODUCTION, MEASURED IN CWT",0
"444",2017,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",110
"445",2017,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",93.5
"446",2017,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",1870
"447",2017,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",15652000
"448",2017,"YEAR","OREGON","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",167400
"449",2017,"YEAR","OREGON","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN TONS",4565
"450",2017,"YEAR","OREGON","PRODUCTION, MEASURED IN $",22048000
"451",2017,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",200200
"452",2017,"YEAR","OREGON","UTILIZED - PRODUCTION, MEASURED IN CWT",200200
"453",2017,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",91
"454",2018,"YEAR","OREGON","ACRES HARVESTED",1100
"455",2018,"YEAR","OREGON","ACRES PLANTED",1300
"456",2018,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"457",2018,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",NA
"458",2018,"YEAR","OREGON","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"459",2018,"YEAR","OREGON","NOT SOLD - PRODUCTION, MEASURED IN CWT",700
"460",2018,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",107
"461",2018,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"462",2018,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",NA
"463",2018,"YEAR","OREGON","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"464",2018,"YEAR","OREGON","PRODUCTION, MEASURED IN $",11687000
"465",2018,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",110000
"466",2018,"YEAR","OREGON","UTILIZED - PRODUCTION, MEASURED IN CWT",109300
"467",2018,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",100
"468",1998,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1600
"469",1998,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"470",1998,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",75
"471",1998,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",1.5e+07
"472",1998,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",2e+05
"473",1998,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",75
"474",1998,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",1.5e+07
"475",1998,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",2e+05
"476",1998,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",125
"477",1999,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1600
"478",1999,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"479",1999,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",80
"480",1999,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",14080000
"481",1999,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",176000
"482",1999,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",80
"483",1999,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",14080000
"484",1999,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",176000
"485",1999,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",110
"486",2000,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1700
"487",2000,"YEAR","NORTH CAROLINA","ACRES PLANTED",1800
"488",2000,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",75
"489",2000,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",17325000
"490",2000,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",231000
"491",2000,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",75
"492",2000,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",17325000
"493",2000,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",231000
"494",2000,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",135
"495",2001,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1700
"496",2001,"YEAR","NORTH CAROLINA","ACRES PLANTED",1800
"497",2001,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",85
"498",2001,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",16660000
"499",2001,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",196000
"500",2001,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",85
"501",2001,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",16660000
"502",2001,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",196000
"503",2001,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",115
"504",2002,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1800
"505",2002,"YEAR","NORTH CAROLINA","ACRES PLANTED",1900
"506",2002,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",85
"507",2002,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",19125000
"508",2002,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",225000
"509",2002,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",85
"510",2002,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",19125000
"511",2002,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",225000
"512",2002,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",125
"513",2003,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1700
"514",2003,"YEAR","NORTH CAROLINA","ACRES PLANTED",1800
"515",2003,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",90
"516",2003,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",15300000
"517",2003,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",170000
"518",2003,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",90
"519",2003,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",15300000
"520",2003,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",170000
"521",2003,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",100
"522",2004,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1600
"523",2004,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"524",2004,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",90
"525",2004,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",15840000
"526",2004,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",176000
"527",2004,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",90
"528",2004,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",15840000
"529",2004,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",176000
"530",2004,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",110
"531",2005,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1500
"532",2005,"YEAR","NORTH CAROLINA","ACRES PLANTED",1600
"533",2005,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",95
"534",2005,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",18525000
"535",2005,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",195000
"536",2005,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",95
"537",2005,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",18525000
"538",2005,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",195000
"539",2005,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",130
"540",2006,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1600
"541",2006,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"542",2006,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",90
"543",2006,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",19440000
"544",2006,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",216000
"545",2006,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",90
"546",2006,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",19440000
"547",2006,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",216000
"548",2006,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",135
"549",2007,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1500
"550",2007,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"551",2007,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",95
"552",2007,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",17955000
"553",2007,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",189000
"554",2007,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",95
"555",2007,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",17955000
"556",2007,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",189000
"557",2007,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",125
"558",2008,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1600
"559",2008,"YEAR","NORTH CAROLINA","ACRES PLANTED",1700
"560",2008,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",100
"561",2008,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",20800000
"562",2008,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",208000
"563",2008,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",100
"564",2008,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",20800000
"565",2008,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",208000
"566",2008,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",130
"567",2009,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1500
"568",2009,"YEAR","NORTH CAROLINA","ACRES PLANTED",1600
"569",2009,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",135
"570",2009,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",26325000
"571",2009,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",195000
"572",2009,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",135
"573",2009,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",26325000
"574",2009,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",195000
"575",2009,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",130
"576",2010,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1400
"577",2010,"YEAR","NORTH CAROLINA","ACRES PLANTED",1500
"578",2010,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",135
"579",2010,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",22680000
"580",2010,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",168000
"581",2010,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",135
"582",2010,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",22680000
"583",2010,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",168000
"584",2010,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",120
"585",2011,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1300
"586",2011,"YEAR","NORTH CAROLINA","ACRES PLANTED",1400
"587",2011,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",140
"588",2011,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",23660000
"589",2011,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",169000
"590",2011,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",140
"591",2011,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",23660000
"592",2011,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",169000
"593",2011,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",130
"594",2012,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1200
"595",2012,"YEAR","NORTH CAROLINA","ACRES PLANTED",1300
"596",2012,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",145
"597",2012,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",23490000
"598",2012,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",162000
"599",2012,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",145
"600",2012,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",23490000
"601",2012,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",162000
"602",2012,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",135
"603",2013,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1100
"604",2013,"YEAR","NORTH CAROLINA","ACRES PLANTED",1200
"605",2013,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",148
"606",2013,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",16280000
"607",2013,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",110000
"608",2013,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",148
"609",2013,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",16280000
"610",2013,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",110000
"611",2013,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",100
"612",2014,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1100
"613",2014,"YEAR","NORTH CAROLINA","ACRES PLANTED",1200
"614",2014,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",152
"615",2014,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",23408000
"616",2014,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",154000
"617",2014,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",152
"618",2014,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",23408000
"619",2014,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",154000
"620",2014,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",140
"621",2015,"YEAR","NORTH CAROLINA","ACRES HARVESTED",1100
"622",2015,"YEAR","NORTH CAROLINA","ACRES PLANTED",1200
"623",2015,"YEAR","NORTH CAROLINA","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",164
"624",2015,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN $",23452000
"625",2015,"YEAR","NORTH CAROLINA","FRESH MARKET - PRODUCTION, MEASURED IN CWT",143000
"626",2015,"YEAR","NORTH CAROLINA","PRICE RECEIVED, MEASURED IN $ / CWT",164
"627",2015,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN $",23452000
"628",2015,"YEAR","NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",143000
"629",2015,"YEAR","NORTH CAROLINA","YIELD, MEASURED IN CWT / ACRE",130
