"","Year","State","Data.Item","Value","CV...."
"352",2011,"WASHINGTON","OPERATIONS WITH SALES IN ORGANIC MARKETS",26,NA
"353",2011,"WASHINGTON","PRODUCTION, MEASURED IN CWT",1139,NA
"354",2011,"WASHINGTON","SALES IN ORGANIC MARKETS, MEASURED IN $",296598,NA
"355",2011,"WASHINGTON","SALES IN ORGANIC MARKETS, MEASURED IN CWT",1096,NA
"356",2011,"WASHINGTON","SALES, MEASURED IN $",296598,NA
"357",2011,"WASHINGTON","SALES, MEASURED IN CWT",1096,NA
"358",2008,"CALIFORNIA","ACRES HARVESTED",1167,NA
"359",2008,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",100,NA
"360",2008,"CALIFORNIA","OPERATIONS WITH SALES",98,NA
"361",2008,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",403563,NA
"362",2008,"CALIFORNIA","SALES, MEASURED IN $",40052591,NA
"363",2008,"FLORIDA","ACRES HARVESTED",NA,NA
"364",2008,"FLORIDA","OPERATIONS WITH AREA HARVESTED",8,NA
"365",2008,"FLORIDA","OPERATIONS WITH SALES",8,NA
"366",2008,"FLORIDA","PRODUCTION, MEASURED IN CWT",NA,NA
"367",2008,"FLORIDA","SALES, MEASURED IN $",NA,NA
"368",2008,"NEW YORK","ACRES HARVESTED",47,NA
"369",2008,"NEW YORK","OPERATIONS WITH AREA HARVESTED",24,NA
"370",2008,"NEW YORK","OPERATIONS WITH SALES",24,NA
"371",2008,"NEW YORK","PRODUCTION, MEASURED IN CWT",1167,NA
"372",2008,"NEW YORK","SALES, MEASURED IN $",263342,NA
"373",2008,"NORTH CAROLINA","ACRES HARVESTED",18,NA
"374",2008,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",14,NA
"375",2008,"NORTH CAROLINA","OPERATIONS WITH SALES",14,NA
"376",2008,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",1394,NA
"377",2008,"NORTH CAROLINA","SALES, MEASURED IN $",265813,NA
"378",2008,"OREGON","ACRES HARVESTED",17,NA
"379",2008,"OREGON","OPERATIONS WITH AREA HARVESTED",27,NA
"380",2008,"OREGON","OPERATIONS WITH SALES",27,NA
"381",2008,"OREGON","PRODUCTION, MEASURED IN CWT",1287,NA
"382",2008,"OREGON","SALES, MEASURED IN $",NA,NA
"383",2008,"WASHINGTON","ACRES HARVESTED",48,NA
"384",2008,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",43,NA
"385",2008,"WASHINGTON","OPERATIONS WITH SALES",43,NA
"386",2008,"WASHINGTON","PRODUCTION, MEASURED IN CWT",812,NA
"387",2008,"WASHINGTON","SALES, MEASURED IN $",281981,NA
